EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-67.329,-12.814,-18.500,-4.755,-30.787,-45.648,-21.908,-34.487,0.043,1.020,-0.085,7.721,5.157,3.387,100.000,17878.000,1.000
-67.262,-9.938,-17.369,-3.934,-30.689,-41.370,-20.840,-33.893,0.042,1.020,-0.085,7.446,5.463,2.838,100.000,17879.000,1.000
-66.546,-8.530,-16.700,-3.586,-30.728,-37.505,-20.507,-33.469,0.044,1.020,-0.088,7.172,5.676,2.258,100.000,17880.000,1.000
-63.788,-7.951,-15.907,-3.370,-29.292,-34.902,-19.001,-31.972,0.044,1.018,-0.088,6.683,5.829,1.801,100.000,17881.000,1.000
-59.013,-8.072,-15.325,-3.334,-26.510,-34.766,-16.657,-29.555,0.046,1.013,-0.094,6.439,6.042,1.251,100.000,17882.000,1.000
-53.609,-9.483,-16.099,-3.902,-24.562,-38.250,-16.196,-27.501,0.050,1.013,-0.096,6.104,6.378,0.793,100.000,17883.000,1.000
-49.016,-12.582,-19.018,-5.524,-25.432,-44.802,-19.746,-26.551,0.054,1.011,-0.095,6.042,6.775,0.275,100.000,17884.000,1.000
-44.653,-16.380,-23.156,-7.973,-28.107,-51.746,-25.648,-25.459,0.056,1.011,-0.099,5.859,7.324,-0.244,100.000,17885.000,1.000
-37.131,-18.574,-25.879,-10.043,-28.536,-56.090,-28.887,-21.411,0.059,1.011,-0.099,5.829,7.874,-0.793,100.000,17886.000,1.000
-22.529,-17.218,-24.672,-10.294,-22.895,-56.575,-25.092,-12.217,0.061,1.011,-0.100,5.707,8.606,-1.282,100.000,17887.000,1.000
-0.406,-12.294,-19.163,-8.186,-10.952,-54.282,-14.206,1.574,0.060,1.011,-0.104,5.554,9.308,-1.617,100.000,17888.000,1.000
24.938,-5.569,-11.322,-4.438,3.826,-51.583,-0.370,16.769,0.058,1.010,-0.104,5.493,9.918,-2.167,100.000,17889.000,1.000
48.340,0.917,-3.673,-0.276,17.430,-50.234,11.717,30.112,0.055,1.015,-0.105,5.432,10.712,-2.655,100.000,17890.000,1.000
68.373,6.118,2.541,3.521,28.251,-50.319,20.147,40.646,0.052,1.016,-0.107,5.249,11.322,-3.357,100.000,17891.000,1.000
86.906,9.955,7.361,6.646,36.895,-50.860,25.720,49.137,0.050,1.018,-0.106,5.157,11.932,-3.876,100.000,17892.000,1.000
105.368,12.619,10.953,8.722,44.054,-50.665,29.556,55.917,0.048,1.018,-0.106,4.974,12.512,-4.456,100.000,17893.000,1.000
123.924,14.370,13.281,9.458,49.661,-48.522,31.956,60.615,0.044,1.016,-0.106,4.883,13.123,-5.096,100.000,17894.000,1.000
143.640,15.720,14.647,9.142,53.818,-43.951,33.217,63.520,0.042,1.016,-0.107,4.639,13.733,-5.798,100.000,17895.000,1.000
166.366,17.201,15.686,8.420,57.280,-38.150,34.196,65.645,0.040,1.015,-0.107,4.456,14.374,-6.500,100.000,17896.000,1.000
192.256,18.972,16.881,7.784,60.919,-33.446,35.944,67.667,0.039,1.014,-0.110,4.272,14.923,-7.294,100.000,17897.000,1.000
220.011,20.856,18.553,7.545,65.572,-31.976,39.670,69.932,0.041,1.013,-0.111,4.150,15.564,-8.087,100.000,17898.000,1.000
249.714,22.671,21.162,8.034,72.343,-34.864,46.953,73.324,0.041,1.010,-0.112,4.059,16.357,-8.911,100.000,17899.000,1.000
282.479,24.329,25.071,9.470,81.983,-41.773,58.805,78.922,0.040,1.008,-0.112,3.967,16.998,-9.613,100.000,17900.000,1.000
316.735,25.689,29.906,11.539,93.533,-50.924,74.009,86.454,0.044,1.006,-0.112,3.937,17.731,-10.315,100.000,17901.000,1.000
347.558,26.558,34.486,13.341,104.079,-59.715,88.803,93.761,0.049,1.002,-0.116,3.906,18.768,-10.803,100.000,17902.000,1.000
370.617,26.877,37.603,14.010,110.243,-65.427,98.578,98.213,0.057,1.001,-0.117,3.845,19.867,-11.353,100.000,17903.000,1.000
384.976,26.770,38.786,13.346,110.175,-65.722,100.360,98.637,0.061,1.001,-0.122,3.937,20.905,-11.902,100.000,17904.000,1.000
392.022,26.458,38.416,11.831,104.743,-59.253,94.672,96.040,0.065,1.002,-0.124,4.028,22.217,-12.177,100.000,17905.000,1.000
394.025,26.244,37.439,10.240,97.278,-46.935,85.578,92.832,0.065,1.003,-0.128,4.120,23.621,-12.451,100.000,17906.000,1.000
394.292,26.397,36.926,9.180,91.951,-32.744,78.607,91.388,0.066,1.005,-0.131,4.028,25.024,-12.604,100.000,17907.000,1.000
396.369,26.880,37.568,8.745,91.612,-21.942,77.856,92.873,0.067,1.009,-0.131,3.967,26.520,-12.634,100.000,17908.000,1.000
401.068,27.247,39.252,8.559,96.186,-17.804,83.939,96.720,0.065,1.012,-0.131,3.876,27.985,-12.848,100.000,17909.000,1.000
404.894,26.897,41.094,8.149,102.590,-20.168,93.783,100.899,0.061,1.013,-0.130,3.784,29.419,-13.031,100.000,17910.000,1.000
403.091,25.618,42.165,7.366,106.773,-26.227,102.658,103.147,0.058,1.015,-0.130,3.723,31.036,-13.153,100.000,17911.000,1.000
393.922,23.795,42.155,6.427,106.373,-32.043,107.053,102.317,0.055,1.014,-0.135,3.479,32.440,-13.184,100.000,17912.000,1.000
378.912,21.978,41.143,5.602,101.468,-34.242,106.026,98.519,0.058,1.013,-0.135,3.204,33.844,-13.245,100.000,17913.000,1.000
360.245,20.340,39.084,4.958,93.395,-31.626,100.583,92.301,0.058,1.012,-0.139,3.082,35.309,-13.489,100.000,17914.000,1.000
339.712,18.506,35.776,4.238,83.636,-25.913,92.507,84.145,0.059,1.011,-0.139,2.930,36.835,-13.733,100.000,17915.000,1.000
319.471,16.020,31.437,3.141,73.776,-20.749,83.854,74.801,0.061,1.012,-0.139,2.960,38.574,-13.977,100.000,17916.000,1.000
301.679,13.086,27.092,1.864,65.653,-18.967,76.817,65.615,0.061,1.012,-0.139,2.563,40.344,-14.099,100.000,17917.000,1.000
286.503,10.444,23.896,0.986,60.447,-20.115,72.803,57.768,0.058,1.011,-0.139,2.136,41.992,-14.221,100.000,17918.000,1.000
271.838,8.475,22.075,0.750,57.690,-21.175,71.454,51.138,0.056,1.011,-0.144,1.923,43.732,-14.313,100.000,17919.000,1.000
255.670,6.842,20.856,0.776,55.696,-20.117,71.156,44.354,0.052,1.013,-0.145,1.678,45.380,-14.404,100.000,17920.000,1.000
237.277,4.980,19.242,0.502,52.803,-17.859,70.344,36.030,0.047,1.016,-0.141,1.404,47.028,-14.435,100.000,17921.000,1.000
215.584,2.385,16.401,-0.476,47.905,-16.959,67.886,25.634,0.042,1.020,-0.143,0.916,48.523,-14.435,100.000,17922.000,1.000
188.272,-1.594,11.493,-2.566,40.209,-19.495,62.647,13.298,0.039,1.023,-0.143,0.305,49.957,-14.435,100.000,17923.000,1.000
153.803,-7.375,4.042,-6.034,29.496,-25.658,53.898,-0.285,0.035,1.029,-0.135,-0.336,51.422,-14.496,100.000,17924.000,1.000
113.185,-14.099,-5.036,-10.233,17.038,-33.315,42.652,-13.401,0.028,1.031,-0.131,-1.160,52.826,-14.343,100.000,17925.000,1.000
70.048,-19.224,-13.082,-13.260,5.658,-38.790,31.986,-23.633,0.017,1.031,-0.130,-2.014,53.986,-14.130,100.000,17926.000,1.000
30.215,-19.718,-16.881,-12.858,-1.740,-38.601,25.351,-29.273,0.006,1.030,-0.132,-3.082,54.932,-13.977,100.000,17927.000,1.000
-1.165,-14.676,-15.076,-8.327,-4.411,-31.778,23.821,-30.710,-0.007,1.029,-0.132,-4.028,55.786,-13.977,100.000,17928.000,1.000
-24.654,-7.027,-9.864,-1.775,-5.048,-21.183,24.496,-30.780,-0.016,1.025,-0.130,-4.761,56.427,-13.794,100.000,17929.000,1.000
-46.968,-1.731,-5.675,3.136,-8.125,-12.097,22.348,-33.229,-0.027,1.023,-0.129,-5.341,56.824,-13.947,100.000,17930.000,1.000
-74.347,-1.725,-5.549,4.155,-16.174,-8.519,14.439,-40.005,-0.036,1.018,-0.129,-5.981,56.976,-14.038,100.000,17931.000,1.000
-106.681,-5.784,-8.892,2.045,-27.798,-10.102,2.305,-49.883,-0.047,1.011,-0.127,-6.561,57.129,-14.160,100.000,17932.000,1.000
-139.115,-10.060,-12.573,-0.488,-39.212,-12.712,-9.604,-59.624,-0.053,1.011,-0.126,-6.927,57.068,-14.343,100.000,17933.000,1.000
-167.668,-11.246,-13.802,-1.013,-47.382,-12.013,-17.417,-66.377,-0.060,1.012,-0.125,-7.172,56.885,-14.435,100.000,17934.000,1.000
-191.963,-8.678,-12.114,1.150,-52.056,-6.442,-20.390,-69.556,-0.066,1.014,-0.122,-7.538,56.427,-14.709,100.000,17935.000,1.000
-214.007,-4.418,-9.426,4.746,-55.576,2.764,-21.278,-71.260,-0.069,1.015,-0.120,-7.874,55.878,-14.862,100.000,17936.000,1.000
