EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-8.288,-8.145,-7.764,-8.215,-8.039,-8.274,-7.831,-8.261,-0.010,0.988,-0.046,-0.061,-0.519,0.214,26.667,2834.000,1.000
-14.408,-14.295,-14.186,-14.431,-14.336,-14.511,-14.166,-14.517,-0.010,0.987,-0.049,-0.061,-0.458,0.214,26.667,2835.000,1.000
-15.951,-16.077,-16.076,-16.196,-15.943,-16.170,-16.072,-16.073,-0.009,0.987,-0.052,-0.092,-0.458,0.153,26.667,2836.000,1.000
-10.098,-10.462,-10.438,-10.586,-10.075,-10.375,-10.444,-10.231,-0.010,0.989,-0.052,-0.092,-0.458,0.275,26.667,2837.000,1.000
-8.079,-8.363,-8.357,-8.545,-8.070,-8.319,-8.441,-8.221,-0.009,0.986,-0.051,-0.153,-0.488,0.397,26.667,2838.000,1.000
-14.309,-14.194,-14.268,-14.395,-14.292,-14.310,-14.512,-14.310,-0.009,0.988,-0.052,-0.153,-0.397,0.244,26.667,2839.000,1.000
-17.422,-16.980,-17.140,-17.137,-17.328,-17.138,-17.374,-17.216,-0.010,0.987,-0.052,-0.214,-0.336,0.305,26.667,2840.000,1.000
-10.748,-10.378,-10.536,-10.498,-10.564,-10.472,-10.525,-10.539,-0.009,0.985,-0.050,-0.153,-0.427,0.366,26.667,2841.000,1.000
-4.602,-4.574,-4.517,-4.635,-4.386,-4.595,-4.379,-4.590,-0.008,0.984,-0.052,-0.153,-0.366,0.366,26.667,2842.000,1.000
-7.219,-7.462,-7.057,-7.349,-7.066,-7.430,-7.074,-7.328,-0.007,0.986,-0.049,-0.214,-0.336,0.275,26.667,2843.000,1.000
-10.058,-10.361,-9.809,-10.051,-9.982,-10.303,-9.907,-10.092,-0.007,0.988,-0.049,-0.183,-0.458,0.275,26.667,2844.000,1.000
-4.464,-4.626,-4.294,-4.313,-4.311,-4.560,-4.196,-4.346,-0.006,0.987,-0.051,-0.275,-0.397,0.305,26.667,2845.000,1.000
2.630,2.651,2.673,2.843,2.949,2.783,2.907,2.780,-0.007,0.987,-0.051,-0.275,-0.366,0.214,26.667,2846.000,1.000
2.671,2.652,2.630,2.833,2.944,2.901,2.644,2.622,-0.008,0.987,-0.048,-0.275,-0.397,0.244,26.667,2847.000,1.000
1.272,1.096,1.188,1.282,1.252,1.265,0.865,0.950,-0.006,0.985,-0.049,-0.336,-0.427,0.366,26.667,2848.000,1.000
6.785,6.659,6.654,6.651,6.516,6.491,6.280,6.363,-0.007,0.983,-0.047,-0.275,-0.427,0.244,26.667,2849.000,1.000
14.147,14.163,13.930,13.940,13.834,13.829,13.777,13.798,-0.007,0.986,-0.050,-0.275,-0.397,0.183,26.667,2850.000,1.000
13.951,13.949,13.754,13.752,13.749,13.813,13.759,13.727,-0.009,0.985,-0.048,-0.153,-0.488,0.153,26.667,2851.000,1.000
9.953,9.902,9.959,9.892,9.924,9.985,10.001,9.889,-0.009,0.988,-0.051,-0.183,-0.427,0.183,26.667,2852.000,1.000
12.458,12.399,12.588,12.567,12.462,12.549,12.724,12.451,-0.008,0.984,-0.048,-0.244,-0.458,0.183,26.667,2853.000,1.000
19.286,19.105,19.301,19.341,19.059,19.276,19.477,19.064,-0.008,0.987,-0.049,-0.153,-0.488,0.183,26.667,2854.000,1.000
19.672,19.334,19.542,19.435,19.248,19.526,19.550,19.209,-0.008,0.985,-0.045,-0.214,-0.458,0.122,26.667,2855.000,1.000
14.160,13.843,14.085,13.765,13.940,14.105,13.911,13.798,-0.007,0.984,-0.045,-0.214,-0.458,0.153,26.667,2856.000,1.000
13.862,13.702,13.984,13.659,14.038,14.070,13.800,13.874,-0.007,0.986,-0.048,-0.153,-0.458,0.244,26.667,2857.000,1.000
19.923,19.916,20.157,20.038,20.223,20.267,20.048,20.269,-0.007,0.986,-0.046,-0.214,-0.427,0.214,26.667,2858.000,1.000
20.896,20.969,21.039,21.190,21.051,21.193,20.995,21.344,-0.008,0.987,-0.046,-0.061,-0.458,0.153,26.667,2859.000,1.000
14.098,14.083,14.005,14.360,14.118,14.251,13.995,14.378,-0.010,0.984,-0.044,-0.031,-0.519,0.214,26.667,2860.000,1.000
11.300,10.984,10.949,11.301,11.182,11.216,10.944,11.279,-0.010,0.987,-0.047,0.031,-0.580,0.214,26.667,2861.000,1.000
16.772,16.198,16.326,16.403,16.416,16.479,16.333,16.581,-0.009,0.986,-0.047,0.000,-0.549,0.244,26.667,2862.000,1.000
18.866,18.396,18.557,18.336,18.351,18.599,18.626,18.725,-0.008,0.988,-0.051,0.000,-0.488,0.244,26.667,2863.000,1.000
11.811,11.723,11.734,11.482,11.472,11.804,11.914,11.779,-0.009,0.985,-0.048,-0.031,-0.427,0.214,26.667,2864.000,1.000
6.618,6.866,6.746,6.649,6.779,6.973,7.075,6.692,-0.008,0.987,-0.049,-0.122,-0.458,0.183,26.667,2865.000,1.000
